m1_surv,m2_surv
1,0.99532
0.9985,0.99135
0.99701,0.98678
0.99551,0.98235
0.99402,0.98116
0.99253,0.97997
0.99105,0.97804
0.98956,0.97684
0.98808,0.97565
0.9866,0.97475
0.98512,0.97371
0.98365,0.97266
0.98217,0.97132
0.9807,0.97027
0.97923,0.96982
0.97777,0.96832
0.9763,0.96787
0.97484,0.96637
0.97338,0.96577
0.97192,0.96547
0.97047,0.96502
0.96901,0.96427
0.96756,0.96366
0.96611,0.96321
0.96466,0.96321
0.96322,0.96216
0.96178,0.96171
0.96034,0.9611
0.9589,0.96065
0.95747,0.9605
0.95604,0.96004
0.95462,0.95974
0.9532,0.95929
0.9518,0.95853
0.95039,0.95808
0.94899,0.95778
0.9476,0.95732
0.94621,0.95687
0.94483,0.95611
0.94345,0.9558
0.94208,0.9558
0.94071,0.9555
0.93935,0.9552
0.93799,0.9552
0.93665,0.95504
0.9353,0.95474
0.93397,0.95428
0.93264,0.95428
0.93132,0.95428
0.93,0.95398
0.92869,0.95383
0.92738,0.95352
0.92608,0.95352
0.92478,0.95337
0.9235,0.95322
0.92221,0.95322
0.92094,0.95292
0.91966,0.95276
0.9184,0.95261
0.91714,0.95261
0.91588,0.95246
0.91463,0.95215
0.91339,0.95215
0.91215,0.95154
0.91091,0.95093
0.90968,0.95093
0.90846,0.95093
0.90724,0.95063
0.90602,0.95048
0.90482,0.95048
0.90361,0.95048
0.90241,0.95017
0.90121,0.94956
0.90001,0.94941
0.89881,0.94926
0.89762,0.9491
0.89642,0.94895
0.89523,0.94895
0.89404,0.94895
0.89285,0.94895
0.89166,0.94895
0.89048,0.94895
0.88929,0.94864
0.88811,0.94849
0.88693,0.94834
0.88575,0.94834
0.88457,0.94834
0.88339,0.94819
0.88222,0.94788
0.88105,0.94788
0.87987,0.94773
0.8787,0.94727
0.87753,0.94696
0.87637,0.94665
0.8752,0.94635
0.87404,0.94604
0.87287,0.94589
0.87171,0.94558
0.87055,0.94527
0.8694,0.94527
0.86824,0.94481
0.86708,0.94466
0.86593,0.9445
0.86478,0.94435
0.86363,0.94435
0.86249,0.94435
0.86134,0.94435
0.8602,0.94419
0.85905,0.94404
0.85791,0.94388
0.85677,0.94388
0.85564,0.94388
0.8545,0.94388
0.85336,0.94373
0.85223,0.94358
0.8511,0.94327
0.84997,0.94327
0.84884,0.94311
0.84771,0.94265
0.84658,0.9425
0.84546,0.9425
0.84434,0.94234
0.84321,0.94219
0.84209,0.94203
0.84098,0.94203
0.83986,0.94172
0.83874,0.94172
0.83763,0.94157
0.83651,0.94157
0.8354,0.94141
0.83429,0.94141
0.83318,0.94141
0.83208,0.94126
0.83097,0.9411
0.82986,0.94048
0.82876,0.94048
0.82766,0.94048
0.82656,0.94048
0.82546,0.94017
0.82436,0.94002
0.82326,0.94002
0.82217,0.93986
0.82107,0.93955
0.81998,0.9394
0.81889,0.9394
0.8178,0.9394
0.81671,0.9394
0.81562,0.93909
0.81454,0.93893
0.81345,0.93862
0.81237,0.93847
0.81129,0.93847
0.81021,0.93831
0.80913,0.93831
0.80805,0.93831
0.80698,0.93831
0.8059,0.93831
0.80483,0.93816
0.80376,0.93816
0.80269,0.93816
0.80162,0.938
0.80056,0.93769
0.79949,0.93769
0.79843,0.93754
0.79736,0.93723
0.7963,0.93691
0.79524,0.93691
0.79418,0.93676
0.79313,0.93676
0.79207,0.93645
0.79102,0.93645
0.78996,0.93629
0.78891,0.93614
0.78786,0.93614
0.78681,0.93614
0.78577,0.93614
0.78472,0.93583
0.78368,0.93583
0.78263,0.93583
0.78159,0.93583
0.78055,0.93567
0.77951,0.93567
0.77848,0.93551
0.77744,0.93551
0.77641,0.93551
0.77537,0.93536
0.77434,0.9352
0.77331,0.93505
0.77228,0.93489
0.77125,0.93474
0.77023,0.93474
0.7692,0.93474
0.76818,0.93458
0.76716,0.93442
0.76614,0.93442
0.76512,0.93427
0.7641,0.93427
0.76308,0.93411
0.76207,0.93396
0.76105,0.93364
0.76004,0.93364
0.75903,0.93364
0.75802,0.93364
0.75701,0.93364
0.756,0.93349
0.755,0.93333
0.75399,0.93333
0.75299,0.93333
0.75199,0.93318
0.75099,0.93318
0.74999,0.93318
0.74899,0.93318
0.74799,0.93318
0.747,0.93318
0.74601,0.93302
0.74501,0.93286
0.74402,0.93286
0.74303,0.93286
0.74204,0.93286
0.74106,0.93271
0.74007,0.93271
0.73909,0.93271
0.7381,0.93271
0.73712,0.93255
0.73614,0.93255
0.73516,0.93255
0.73418,0.93255
0.73321,0.9324
0.73223,0.9324
0.73126,0.9324
0.73028,0.93224
0.72931,0.93224
0.72834,0.93224
0.72737,0.93208
0.72641,0.93208
0.72544,0.93208
0.72448,0.93208
0.72351,0.93208
0.72255,0.93193
0.72159,0.93193
0.72063,0.93193
0.71967,0.93177
0.71871,0.93177
0.71776,0.93162
0.7168,0.93146
0.71585,0.93146
0.7149,0.93115
0.71395,0.93099
0.713,0.93099
0.71205,0.93084
0.7111,0.93068
0.71015,0.93052
0.70921,0.93037
0.70827,0.93037
0.70732,0.93037
0.70638,0.93037
0.70544,0.93021
0.70451,0.93005
0.70357,0.9299
0.70263,0.9299
0.7017,0.9299
0.70077,0.9299
0.69983,0.92974
0.6989,0.92974
0.69797,0.92974
0.69705,0.92974
0.69612,0.92959
0.69519,0.92959
0.69427,0.92959
0.69334,0.92959
0.69242,0.92959
0.6915,0.92959
0.69058,0.92943
0.68966,0.92943
0.68875,0.92927
0.68783,0.92927
0.68692,0.92927
0.686,0.92927
0.68509,0.9288
0.68418,0.92865
0.68327,0.92849
0.68236,0.92849
0.68145,0.92833
0.68055,0.92818
0.67964,0.92786
0.67874,0.92786
0.67784,0.92786
0.67693,0.92786
0.67603,0.92786
0.67514,0.92786
0.67424,0.92786
0.67334,0.92786
0.67245,0.92786
0.67155,0.92786
0.67066,0.92771
0.66977,0.92755
0.66888,0.92755
0.66799,0.92755
0.6671,0.92755
0.66621,0.92755
0.66533,0.92755
0.66444,0.92755
0.66356,0.92755
0.66269,0.92755
0.66181,0.92755
0.66094,0.92739
0.66007,0.92724
0.6592,0.92708
0.65834,0.92708
0.65748,0.92692
0.65662,0.92692
0.65577,0.92677
0.65491,0.92677
0.65406,0.92677
0.65321,0.92677
0.65236,0.92677
0.65152,0.92677
0.65068,0.92661
0.64984,0.92645
0.649,0.92645
0.64817,0.9263
0.64733,0.9263
0.6465,0.92598
0.64567,0.92598
0.64485,0.92567
0.64402,0.92567
0.6432,0.92567
0.64238,0.92567
0.64156,0.92567
0.64075,0.92567
0.63994,0.92535
0.63913,0.92535
0.63832,0.9252
0.63751,0.9252
0.63671,0.9252
0.6359,0.9252
0.6351,0.9252
0.6343,0.92488
0.63351,0.92488
0.63271,0.92488
0.63192,0.92472
0.63113,0.92472
0.63034,0.92457
0.62956,0.92441
0.62877,0.92441
0.62799,0.92441
0.62721,0.92441
0.62643,0.92409
0.62566,0.92409
0.62488,0.92393
0.62411,0.92362
0.62334,0.92362
0.62258,0.92362
0.62182,0.92362
0.62106,0.92346
0.6203,0.92346
0.61954,0.9233
0.61879,0.9233
0.61803,0.9233
0.61728,0.92315
0.61654,0.92315
0.61579,0.92315
0.61505,0.92299
0.61431,0.92283
0.61357,0.92283
0.61283,0.92251
0.61209,0.92236
0.61136,0.92236
0.61063,0.92236
0.6099,0.9222
0.60917,0.9222
0.60845,0.9222
0.60773,0.9222
0.60701,0.9222
0.60629,0.9222
0.60557,0.9222
0.60485,0.9222
0.60414,0.9222
0.60342,0.9222
0.60271,0.9222
0.60201,0.9222
0.6013,0.9222
0.6006,0.92204
0.59989,0.92204
0.59919,0.92188
0.59849,0.92172
0.5978,0.92172
0.5971,0.92172
0.59641,0.92172
0.59572,0.92172
0.59503,0.92172
0.59434,0.92156
0.59366,0.92141
0.59297,0.92141
0.59229,0.92141
0.59161,0.92125
0.59094,0.92109
0.59026,0.92109
0.58959,0.92093
0.58892,0.92077
0.58825,0.92077
0.58758,0.92077
0.58691,0.92077
0.58624,0.92061
0.58558,0.92061
0.58491,0.92061
0.58425,0.92045
0.58358,0.9203
0.58292,0.9203
0.58226,0.9203
0.5816,0.9203
0.58094,0.9203
0.58028,0.92014
0.57962,0.92014
0.57896,0.91998
0.5783,0.91998
0.57764,0.91998
0.57699,0.91982
0.57633,0.91982
0.57568,0.91982
0.57502,0.91982
0.57437,0.91982
0.57372,0.91982
0.57306,0.91982
0.57241,0.91966
0.57176,0.91966
0.57111,0.9195
0.57046,0.9195
0.56982,0.9195
0.56917,0.9195
0.56852,0.9195
0.56788,0.9195
0.56723,0.9195
0.56659,0.9195
0.56594,0.9195
0.5653,0.9195
0.56466,0.9195
0.56402,0.9195
0.56337,0.9195
0.56273,0.91934
0.56209,0.91934
0.56146,0.91934
0.56082,0.91934
0.56018,0.91934
0.55954,0.91918
0.55891,0.91902
0.55827,0.91902
0.55764,0.91902
0.55701,0.91902
0.55637,0.91871
0.55574,0.91855
0.55511,0.91839
0.55448,0.91839
0.55385,0.91839
0.55322,0.91839
0.55259,0.91839
0.55196,0.91807
0.55134,0.91807
0.55071,0.91807
0.55009,0.91807
0.54946,0.91807
0.54884,0.91807
0.54821,0.91807
0.54759,0.91807
0.54697,0.91791
0.54635,0.91791
0.54573,0.91791
0.54511,0.91775
0.54449,0.91775
0.54387,0.91775
0.54325,0.91743
0.54263,0.91727
0.54202,0.91727
0.5414,0.91727
0.54079,0.91727
0.54017,0.91727
0.53956,0.91727
0.53895,0.91711
0.53833,0.91711
0.53772,0.91695
0.53711,0.91695
0.5365,0.91695
0.53589,0.91695
0.53528,0.91679
0.53467,0.91664
0.53407,0.91664
0.53346,0.91648
0.53286,0.91648
0.53225,0.91632
0.53165,0.91616
0.53104,0.91584
0.53044,0.91568
0.52984,0.91568
0.52923,0.91568
0.52863,0.91568
0.52803,0.91568
0.52743,0.91568
0.52683,0.91568
0.52624,0.91568
0.52564,0.91568
0.52504,0.91568
0.52444,0.91568
0.52385,0.91568
0.52325,0.91552
0.52266,0.91552
0.52207,0.91552
0.52147,0.91552
0.52088,0.91552
0.52029,0.91552
0.5197,0.91552
0.51911,0.91536
0.51852,0.91536
0.51793,0.91536
0.51734,0.9152
0.51675,0.91488
0.51617,0.91472
0.51558,0.91472
0.515,0.9144
0.51441,0.9144
0.51383,0.9144
0.51324,0.9144
0.51266,0.91408
0.51208,0.91392
0.5115,0.91392
0.51092,0.91392
0.51034,0.91392
0.50976,0.91392
0.50918,0.91376
0.5086,0.91376
0.50802,0.91376
0.50744,0.91376
0.50687,0.91376
0.50629,0.91376
0.50572,0.9136
0.50514,0.9136
0.50457,0.91344
0.504,0.91328
0.50342,0.91328
0.50285,0.91312
0.50228,0.91312
0.50171,0.91312
0.50114,0.91296
0.50057,0.91296
0.5,0.91264
0.49944,0.91264
0.49887,0.91247
0.4983,0.91231
0.49774,0.91215
0.49717,0.91215
0.49661,0.91183
0.49604,0.91183
0.49548,0.91183
0.49492,0.91183
0.49436,0.91183
0.4938,0.91183
0.49323,0.91183
0.49267,0.91183
0.49212,0.91183
0.49156,0.91183
0.491,0.91183
0.49044,0.91167
0.48988,0.91167
0.48933,0.91167
0.48877,0.91167
0.48822,0.91167
0.48766,0.91167
0.48711,0.91167
0.48656,0.91167
0.486,0.91167
0.48545,0.91151
0.4849,0.91151
0.48435,0.91151
0.4838,0.91151
0.48325,0.91103
0.4827,0.91103
0.48216,0.91087
0.48161,0.91087
0.48106,0.91087
0.48051,0.91087
0.47997,0.91087
0.47942,0.91087
0.47888,0.9107
0.47834,0.9107
0.47779,0.9107
0.47725,0.9107
0.47671,0.9107
0.47617,0.91054
0.47563,0.91054
0.47509,0.91054
0.47455,0.91054
0.47401,0.91054
0.47347,0.91038
0.47293,0.91038
0.4724,0.91022
0.47186,0.91022
0.47133,0.91022
0.47079,0.91022
0.47026,0.91022
0.46972,0.91006
0.46919,0.9099
0.46866,0.9099
0.46812,0.90974
0.46759,0.90974
0.46706,0.90958
0.46653,0.90958
0.466,0.90958
0.46547,0.90941
0.46495,0.90941
0.46442,0.90941
0.46389,0.90941
0.46336,0.90941
0.46284,0.90941
0.46231,0.90941
0.46179,0.90941
0.46126,0.90941
0.46074,0.90925
0.46022,0.90909
0.4597,0.90877
0.45917,0.90877
0.45865,0.90877
0.45813,0.90861
0.45761,0.90861
0.45709,0.90845
0.45657,0.90845
0.45606,0.90845
0.45554,0.90828
0.45502,0.90828
0.4545,0.90812
0.45399,0.90796
0.45347,0.90796
0.45296,0.90796
0.45244,0.9078
0.45193,0.9078
0.45142,0.9078
0.45091,0.9078
0.45039,0.9078
0.44988,0.9078
0.44937,0.90764
0.44886,0.90764
0.44835,0.90764
0.44784,0.90747
0.44734,0.90731
0.44683,0.90731
0.44632,0.90731
0.44582,0.90715
0.44531,0.90715
0.4448,0.90715
0.4443,0.90699
0.4438,0.90699
0.44329,0.90699
0.44279,0.90699
0.44229,0.90699
0.44178,0.90699
0.44128,0.90699
0.44078,0.90683
0.44028,0.90683
0.43978,0.90667
0.43928,0.90667
0.43878,0.90667
0.43829,0.90667
0.43779,0.90667
0.43729,0.90667
0.4368,0.90667
0.4363,0.90667
0.43581,0.90667
0.43531,0.90667
0.43482,0.9065
0.43432,0.9065
0.43383,0.90634
0.43334,0.90618
0.43285,0.90618
0.43236,0.90602
0.43187,0.90602
0.43138,0.90602
0.43089,0.90602
0.4304,0.90602
0.42991,0.90585
0.42942,0.90585
0.42893,0.90585
0.42845,0.90569
0.42796,0.90553
0.42748,0.90553
0.42699,0.90537
0.42651,0.90537
0.42602,0.90537
0.42554,0.90537
0.42506,0.90504
0.42457,0.90488
0.42409,0.90488
0.42361,0.90488
0.42313,0.90488
0.42265,0.90488
0.42217,0.90472
0.42169,0.90439
0.42121,0.90439
0.42074,0.90439
0.42026,0.90439
0.41978,0.90439
0.41931,0.90439
0.41883,0.90439
0.41835,0.90423
0.41788,0.90423
0.41741,0.90358
0.41693,0.90358
0.41646,0.90358
0.41599,0.90358
0.41552,0.90358
0.41504,0.90358
0.41457,0.90358
0.4141,0.90358
0.41363,0.90342
0.41316,0.90325
0.4127,0.90293
0.41223,0.90293
0.41176,0.90293
0.41129,0.90276
0.41083,0.90276
0.41036,0.90276
0.40989,0.90276
0.40943,0.90276
0.40897,0.9026
0.4085,0.9026
0.40804,0.9026
0.40758,0.9026
0.40711,0.90244
0.40665,0.90244
0.40619,0.90244
0.40573,0.90244
0.40527,0.90244
0.40481,0.90244
0.40435,0.90244
0.40389,0.90244
0.40343,0.90244
0.40298,0.90244
0.40252,0.90244
0.40206,0.90244
0.40161,0.90244
0.40115,0.90244
0.4007,0.90244
0.40024,0.90211
0.39979,0.90211
0.39933,0.90211
0.39888,0.90211
0.39843,0.90195
0.39798,0.90195
0.39753,0.90195
0.39707,0.90195
0.39662,0.90195
0.39617,0.90178
0.39572,0.90178
0.39528,0.90178
0.39483,0.90178
0.39438,0.90178
0.39393,0.90178
0.39349,0.90178
0.39304,0.90178
0.39259,0.90178
0.39215,0.90178
0.3917,0.90178
0.39126,0.90178
0.39082,0.90178
0.39037,0.90178
0.38993,0.90178
0.38949,0.90178
0.38905,0.90162
0.38861,0.90145
0.38816,0.90145
0.38772,0.90129
0.38728,0.90129
0.38685,0.90129
0.38641,0.90129
0.38597,0.90129
0.38553,0.90113
0.38509,0.90096
0.38466,0.90096
0.38422,0.90096
0.38379,0.90096
0.38335,0.90096
0.38292,0.90063
0.38248,0.90047
0.38205,0.90047
0.38161,0.90047
0.38118,0.90014
0.38075,0.90014
0.38032,0.89998
0.37989,0.89981
0.37946,0.89981
0.37903,0.89948
0.3786,0.89948
0.37817,0.89948
0.37774,0.89948
0.37731,0.89948
0.37688,0.89948
0.37645,0.89948
0.37603,0.89948
0.3756,0.89915
0.37518,0.89915
0.37475,0.89915
0.37432,0.89915
0.3739,0.89915
0.37348,0.89899
0.37305,0.89899
0.37263,0.89899
0.37221,0.89899
0.37179,0.89882
0.37136,0.89866
0.37094,0.89849
0.37052,0.89833
0.3701,0.89833
0.36968,0.89833
0.36926,0.89833
0.36885,0.89833
0.36843,0.898
0.36801,0.898
0.36759,0.898
0.36718,0.898
0.36676,0.898
0.36634,0.89784
0.36593,0.89784
0.36551,0.89784
0.3651,0.89784
0.36468,0.89784
0.36427,0.89784
0.36386,0.89784
0.36345,0.89784
0.36303,0.89784
0.36262,0.89784
0.36221,0.89767
0.3618,0.89767
0.36139,0.89751
0.36098,0.89751
0.36057,0.89751
0.36016,0.89718
0.35975,0.89701
0.35935,0.89701
0.35894,0.89701
0.35853,0.89668
0.35813,0.89652
0.35772,0.89652
0.35731,0.89652
0.35691,0.89652
0.35651,0.89635
0.3561,0.89635
0.3557,0.89635
0.35529,0.89635
0.35489,0.89619
0.35449,0.89619
0.35409,0.89619
0.35369,0.89619
0.35329,0.89619
0.35288,0.89619
0.35248,0.89619
0.35209,0.89602
0.35169,0.89602
0.35129,0.89586
0.35089,0.89586
0.35049,0.89586
0.35009,0.89586
0.3497,0.89586
0.3493,0.89586
0.34891,0.89586
0.34851,0.89586
0.34812,0.89586
0.34772,0.89586
0.34733,0.89586
0.34693,0.89569
0.34654,0.89552
0.34615,0.89552
0.34575,0.89552
0.34536,0.89536
0.34497,0.89536
0.34458,0.89536
0.34419,0.89536
0.3438,0.89519
0.34341,0.89503
0.34302,0.89486
0.34263,0.89486
0.34224,0.89486
0.34186,0.89486
0.34147,0.8947
0.34108,0.8947
0.3407,0.8947
0.34031,0.8947
0.33992,0.8947
0.33954,0.8947
0.33915,0.8947
0.33877,0.8947
0.33839,0.8947
0.338,0.8947
0.33762,0.8947
0.33724,0.8947
0.33685,0.89453
0.33647,0.89453
0.33609,0.89453
0.33571,0.89453
0.33533,0.89453
0.33495,0.89453
0.33457,0.89437
0.33419,0.89437
0.33381,0.89437
0.33343,0.89437
0.33306,0.89437
0.33268,0.89437
0.3323,0.8942
0.33193,0.8942
0.33155,0.8942
0.33117,0.8942
0.3308,0.89403
0.33042,0.89387
0.33005,0.89387
0.32968,0.8937
0.3293,0.8937
0.32893,0.8937
0.32856,0.8937
